id,nome,rango,intervallo_iniziale,intervallo_finale,eta_massima,eta_minima,longitudine,latitudine,codice_paese,stato_regione,formazione,gruppo_geologico,phylum,classe,ordine,famiglia,genere,origine_dataset,fonte_riempimento_tassonomia
150239,Titanosauridae,family,Maastrichtian,,72.2,66.0,6.3,43.583332,FR,Var,,,Chordata,Saurischia,Saurischia,Titanosauridae,,0,post_dataset_extra_famiglia_to_ordine
150240,Amargasaurus cazaui,species,Barremian,,125.77,121.4,-70.194786,-39.481979,AR,Neuquén,La Amarga,,Chordata,Saurischia,Saurischia,Dicraeosauridae,Amargasaurus,0,dataset_extra_dinosauri
150241,Telmatosaurus transsylvanicus,species,Early Maastrichtian,,72.2,66.0,22.845142,45.603615,RO,Hunedoara,Densuş-Ciula,,Chordata,Ornithischia,Ornithischia,Telmatosauridae,Telmatosaurus,0,dataset_extra_dinosauri
150242,Owenodon,genus,Berriasian,,143.1,137.05,22.4,46.950001,RO,Judetul Bihor,Lower Bauxite,,Chordata,Ornithischia,Ornithischia,<NA>,Owenodon,0,PBDB
150248,Owenodon,genus,Berriasian,,143.1,137.05,22.4,46.950001,RO,Judetul Bihor,Lower Bauxite,,Chordata,Ornithischia,Ornithischia,<NA>,Owenodon,0,PBDB
150249,Iguanodontia,infraorder,Berriasian,,143.1,137.05,22.4,46.950001,RO,Judetul Bihor,Lower Bauxite,,Chordata,Ornithischia,,,,0,
150309,Styracosaurus albertensis,species,Late Campanian,,83.6,72.2,-111.565781,50.742214,CA,Alberta,Dinosaur Park,Belly River,Chordata,Ornithischia,Ornithischia,Ceratopsidae,Styracosaurus,0,dataset_extra_dinosauri
150310,Centrosaurus apertus,species,Campanian,,83.6,72.2,-111.800003,50.73,CA,Alberta,Oldman,Belly River,Chordata,Ornithischia,Ornithischia,Ceratopsidae,Centrosaurus,0,dataset_extra_dinosauri
150311,Apatosaurus louisae,species,Kimmeridgian,Tithonian,154.8,143.1,-105.187332,39.653423,US,Colorado,Morrison,,Chordata,Saurischia,Saurischia,Diplodocidae,Apatosaurus,0,dataset_extra_dinosauri
150313,Hispanosauropus hauboldi,species,Kimmeridgian,,154.8,149.2,-5.076468,43.468056,ES,Asturias,Cabaços,,Chordata,Reptilia,<NA>,<NA>,Hispanosauropus,0,PBDB
150314,Hispanosauropus hauboldi,species,Kimmeridgian,,154.8,149.2,-5.249015,43.498878,ES,Asturias,Tereñes,,Chordata,Reptilia,<NA>,<NA>,Hispanosauropus,0,PBDB
