genere,genere_key,phylum,classe,ordine,famiglia,fonte_lookup
shanag,shanag,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
shantungosaurus,shantungosaurus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
shunosaurus,shunosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
shuvuuia,shuvuuia,Chordata,Reptilia,Saurischia,Alvarezsauridae,data.csv_taxonomy
silvisaurus,silvisaurus,Chordata,Reptilia,Ornithischia,Nodosauridae,data.csv_taxonomy
sinocalliopteryx,sinocalliopteryx,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
sinornithosaurus,sinornithosaurus,Chordata,Reptilia,Saurischia,Dromaeosauridae,data.csv_taxonomy
sinosauropteryx,sinosauropteryx,Chordata,Reptilia,Saurischia,Compsognathidae,data.csv_taxonomy
sinovenator,sinovenator,Chordata,Reptilia,Saurischia,Troodontidae,data.csv_taxonomy
sinraptor,sinraptor,Chordata,Reptilia,Saurischia,Sinraptoridae,data.csv_taxonomy
sonidosaurus,sonidosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
spinosaurus,spinosaurus,Chordata,Reptilia,Saurischia,Spinosauridae,data.csv_taxonomy
staurikosaurus,staurikosaurus,Chordata,Reptilia,Saurischia,Herrerasauridae,data.csv_taxonomy
stegoceras,stegoceras,Chordata,Reptilia,Ornithischia,Pachycephalosauridae,data.csv_taxonomy
stegosaurus,stegosaurus,Chordata,Reptilia,Ornithischia,Stegosauridae,data.csv_taxonomy
stenopelix,stenopelix,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
struthiomimus,struthiomimus,Chordata,Reptilia,Saurischia,Ornithomimidae,data.csv_taxonomy
struthiosaurus,struthiosaurus,Chordata,Reptilia,Ornithischia,Nodosauridae,data.csv_taxonomy
styracosaurus,styracosaurus,Chordata,Reptilia,Ornithischia,Ceratopsidae,data.csv_taxonomy
suchomimus,suchomimus,Chordata,Reptilia,Saurischia,Spinosauridae,data.csv_taxonomy
supersaurus,supersaurus,Chordata,Reptilia,Saurischia,Diplodocidae,data.csv_taxonomy
talarurus,talarurus,Chordata,Reptilia,Ornithischia,Ankylosauridae,data.csv_taxonomy
tanius,tanius,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
tarbosaurus,tarbosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,data.csv_taxonomy
