nome,rango,genere,famiglia,ordine,classe,phylum,origine_dataset,fonte_riempimento_tassonomia
Pterophyllum fragile,species,Pterophyllum,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Pterophyllum inaequale,species,Pterophyllum,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Pterophyllum longifolium,species,Pterophyllum,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Furcifolium longifolium,species,Furcifolium,,,,Ginkgophyta,1,
Athrotaxites lycopodioides,species,Athrotaxites,,Coniferales,,Gymnospermae,1,
Callitris,genus,Callitris,Cupressaceae,Coniferales,,Gymnospermae,1,
Podozamites pulchellus,species,Podozamites,Podocarpaceae,Coniferales,,Gymnospermae,1,
Condylites squamatus,species,Condylites,,,,Spermatophyta,1,
Cladophlebis browniana,species,Cladophlebis,,,Polypodiopsida,Pteridophyta,1,
Stellapollenites,genus,Stellapollenites,,,,,1,
Calamospora,genus,Calamospora,,,Sphenopsida,Sphenophyta,1,
Punctatisporites,genus,Punctatisporites,,,,,1,
Baculatisporites,genus,Baculatisporites,Osmundaceae,,Polypodiopsida,Pteridophyta,1,
Apiculatisporis,genus,Apiculatisporis,,,,Pteridophyta,1,
Limitisporites,genus,Limitisporites,,,,,1,
Voltziaceaesporites,genus,Voltziaceaesporites,,Coniferales,,Gymnospermae,1,
Thinnfeldia rhomboidalis,species,Thinnfeldia,,Pteridospermales,Cycadopsida,Cycadophyta,1,
Thinnfeldia,genus,Thinnfeldia,,Pteridospermales,Cycadopsida,Cycadophyta,1,
Ctenopteris cycadea,species,Ctenopteris,,,,Cycadophyta,1,
Pterophyllum aequale,species,Pterophyllum,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
