occurrence_no,collection_no,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma,lat,lng,cc,state,formation,geological_group,phylum,class,order,family,genus,mid_ma,period_group,has_valid_coords,dataset_type,continente,order_raggruppato,categoria,possibile_aviano_residuo
150312,13342,Dinosauria,unranked clade,Kimmeridgian,,154.8,149.2,43.498878,-5.249015,ES,Asturias,Tereñes,,Chordata,Reptilia,,,,152.0,Giurassico,True,Dinosauria,Europa,,Altro/Non Classificato,False
150313,13343,Hispanosauropus hauboldi,species,Kimmeridgian,,154.8,149.2,43.468056,-5.076468,ES,Asturias,Cabaços,,Chordata,Reptilia,,,Hispanosauropus,152.0,Giurassico,True,Dinosauria,Europa,,Altro/Non Classificato,False
150314,13342,Hispanosauropus hauboldi,species,Kimmeridgian,,154.8,149.2,43.498878,-5.249015,ES,Asturias,Tereñes,,Chordata,Reptilia,,,Hispanosauropus,152.0,Giurassico,True,Dinosauria,Europa,,Altro/Non Classificato,False
150318,13345,Dinosauria,unranked clade,Late Albian,Early Turonian,106.3,89.8,-22.6,143.0,AU,Queensland,Winton,Rolling Downs,Chordata,Reptilia,,,,98.05,Cretaceo,True,Dinosauria,Oceania,,Altro/Non Classificato,False
150324,13347,Macroolithus rugustus,species,Maastrichtian,,72.2,66.0,43.720554,99.926941,MN,Ovorhangai,Nemegt,,Chordata,Reptilia,,Elongatoolithidae,Macroolithus,69.1,Cretaceo,True,Dinosauria,Asia,,Altro/Non Classificato,False
150326,13349,Macroolithus rugustus,species,Maastrichtian,,72.2,66.0,47.5919,84.0047,KZ,Aqmola,Tayzhuzgen,,Chordata,Reptilia,,Elongatoolithidae,Macroolithus,69.1,Cretaceo,True,Dinosauria,Asia,,Altro/Non Classificato,False
150327,13350,Paraspheroolithus irenensis,species,Cenomanian,Santonian,100.5,83.6,43.938889,101.331947,MN,Ovorhangai,Baynshire,,Chordata,Ornithischia,,Spheroolithidae,Paraspheroolithus,92.05,Cretaceo,True,Dinosauria,Asia,,Erbivoro,False
150328,13351,Dinosauria,unranked clade,Late Cretaceous,,100.5,66.0,45.099998,110.416664,MN,Dornogov,,,Chordata,Reptilia,,,,83.25,Cretaceo,True,Dinosauria,Asia,,Altro/Non Classificato,False
150350,13352,Diplodocus carnegii,species,Kimmeridgian,Tithonian,154.8,143.1,42.152302,-105.916199,US,Wyoming,Morrison,,Chordata,Saurischia,Saurischia,Diplodocidae,Diplodocus,148.95,Giurassico,True,Dinosauria,Nord America,Saurischia,Erbivoro,False
150610,13366,Ornithopoda,suborder,Maastrichtian,,72.2,66.0,32.016666,36.033333,JO,,Phosphorite Unit,Balqa,Chordata,Ornithischia,,,,69.1,Cretaceo,True,Dinosauria,Asia,,Erbivoro,False
150847,13305,Patagopteryx deferrariisi,species,Santonian,,85.7,83.6,-38.953888,-68.234169,AR,Neuquén,Bajo de la Carpa,Neuquén,Chordata,Reptilia,,,Patagopteryx,84.65,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
150848,13305,Neuquenornis volans,species,Santonian,,85.7,83.6,-38.953888,-68.234169,AR,Neuquén,Bajo de la Carpa,Neuquén,Chordata,Reptilia,,Avisauridae,Neuquenornis,84.65,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
150849,13409,Dilophosaurus wetherilli,species,Sinemurian,Pliensbachian,199.5,184.2,36.145279,-110.32,US,Arizona,Kayenta,Glen Canyon,Chordata,Reptilia,Saurischia,Dilophosauridae,Dilophosaurus,191.85,Giurassico,True,Dinosauria,Nord America,Saurischia,Erbivoro/Incertezza,False
150850,13410,Dilophosaurus wetherilli,species,Sinemurian,Pliensbachian,199.5,184.2,36.099998,-110.300003,US,Arizona,Kayenta,Glen Canyon,Chordata,Reptilia,Saurischia,Dilophosauridae,Dilophosaurus,191.85,Giurassico,True,Dinosauria,Nord America,Saurischia,Erbivoro/Incertezza,False
150851,13411,Graciliceratops mongoliensis,species,Cenomanian,Santonian,100.5,83.6,43.938889,101.331947,MN,Omnogov,Baynshire,,Chordata,Ornithischia,Ornithischia,,Graciliceratops,92.05,Cretaceo,True,Dinosauria,Asia,Ornithischia,Erbivoro,False
150852,13411,Ankylosauridae,family,Cenomanian,Santonian,100.5,83.6,43.938889,101.331947,MN,Omnogov,Baynshire,,Chordata,Ornithischia,Ornithischia,Ankylosauridae,,92.05,Cretaceo,True,Dinosauria,Asia,Ornithischia,Erbivoro,False
150853,13411,Ornithomimidae,family,Cenomanian,Santonian,100.5,83.6,43.938889,101.331947,MN,Omnogov,Baynshire,,Chordata,Reptilia,Saurischia,Ornithomimidae,,92.05,Cretaceo,True,Dinosauria,Asia,Saurischia,Carnivoro,False
